Company: Organization Name,Company: Organization Permalink,Company: Industries,Company: Headquarters Location,Company: Description,Company: CB Rank (Organization),Company: Stage,Company: CB Rank (Company),Company: Founded Date,Company: Investor Type,Company: Investment Stage,Company: Number of Investments,Company: Number of Funding Rounds,Company: Funding Status,Company: Last Funding Type,Company: Total Funding Amount,Company: Last Funding Amount,Company: Number Of Investors,Company: Revenue Range,Organization Permalink,Organization Name,Announced Date,Transaction Name,Transaction Link,Number of Investors,Money Raised,Lead Investors
n8n,n8n-io,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS",Berlin,N8n is a workflow automation tool that integrates AI capabilities with business process automation.,63,early_stage_venture,50,2019-11-01,,,,5,Raised,series_b,79316395,59316395,16,r_00001000,n8n-io,n8n,"Mar 24, 2025",Series B - n8n,https://www.crunchbase.com/funding_round/n8n-io-series-b--16b22d4c,5,€55M,Highland Europe
n8n,n8n-io,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS",Berlin,N8n is a workflow automation tool that integrates AI capabilities with business process automation.,63,early_stage_venture,50,2019-11-01,,,,5,Raised,series_b,79316395,59316395,16,r_00001000,n8n-io,n8n,"Feb 19, 2024",Series A - n8n,https://www.crunchbase.com/funding_round/n8n-io-series-a--f35d173b,4,$5M,Felicis
n8n,n8n-io,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS",Berlin,N8n is a workflow automation tool that integrates AI capabilities with business process automation.,63,early_stage_venture,50,2019-11-01,,,,5,Raised,series_b,79316395,59316395,16,r_00001000,n8n-io,n8n,"Nov 18, 2022",Convertible Note - n8n,https://www.crunchbase.com/funding_round/n8n-io-convertible-note--6df21183,1,$1.5M,Harpoon
n8n,n8n-io,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS",Berlin,N8n is a workflow automation tool that integrates AI capabilities with business process automation.,63,early_stage_venture,50,2019-11-01,,,,5,Raised,series_b,79316395,59316395,16,r_00001000,n8n-io,n8n,"Apr 26, 2021",Series A - n8n,https://www.crunchbase.com/funding_round/n8n-io-series-a--53c9c399,6,$12M,Felicis
n8n,n8n-io,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS",Berlin,N8n is a workflow automation tool that integrates AI capabilities with business process automation.,63,early_stage_venture,50,2019-11-01,,,,5,Raised,series_b,79316395,59316395,16,r_00001000,n8n-io,n8n,"Mar 12, 2020",Seed Round - n8n,https://www.crunchbase.com/funding_round/n8n-io-seed--703ccaaa,10,$1.5M,"Firstminute Capital, Sequoia Capital"
Helsing,helsing,"Artificial Intelligence (AI), Information Technology, Military, Software",Berlin,Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,256,late_stage_venture,198,2021-01-01,,,,3,Raised,series_c,830449847,489334147,9,,helsing,Helsing,"Jul 11, 2024",Series C - Helsing,https://www.crunchbase.com/funding_round/helsing-series-c--2a316973,7,€450M,General Catalyst
Helsing,helsing,"Artificial Intelligence (AI), Information Technology, Military, Software",Berlin,Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,256,late_stage_venture,198,2021-01-01,,,,3,Raised,series_c,830449847,489334147,9,,helsing,Helsing,"Sep 14, 2023",Series B - Helsing,https://www.crunchbase.com/funding_round/helsing-series-b--cffde201,3,€209M,General Catalyst
Helsing,helsing,"Artificial Intelligence (AI), Information Technology, Military, Software",Berlin,Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,256,late_stage_venture,198,2021-01-01,,,,3,Raised,series_c,830449847,489334147,9,,helsing,Helsing,"Nov 9, 2021",Series A - Helsing,https://www.crunchbase.com/funding_round/helsing-series-a--186e472a,1,€102.5M,Prima Materia
Siemens,siemens,"Artificial Intelligence (AI), Consulting, Cyber Security, Internet of Things",Munich,"Siemens empowers customers to transform the industries that form the backbone of economies: industry, transportation, buildings and grids.",527,ipo,432,1847-01-01,,,39,5,Raised,post_ipo_equity,7011945145,1500000000,6,r_10000000,siemens,Siemens,"Feb 20, 2025",Post-IPO Equity - Siemens,https://www.crunchbase.com/funding_round/siemens-post-ipo-equity--d7be4c32,,$1.5B,
Siemens,siemens,"Artificial Intelligence (AI), Consulting, Cyber Security, Internet of Things",Munich,"Siemens empowers customers to transform the industries that form the backbone of economies: industry, transportation, buildings and grids.",527,ipo,432,1847-01-01,,,39,5,Raised,post_ipo_equity,7011945145,1500000000,6,r_10000000,siemens,Siemens,"Sep 17, 2024",Grant - Siemens,https://www.crunchbase.com/funding_round/siemens-grant--ead97f0a,1,$1.5M,US Department of Energy
