Round 1_Date,Round 1_Name,Round 1_InvestorsCount,Round 1_Sum,Round 1_LeadInvestors,Round 2_Date,Round 2_Name,Round 2_InvestorsCount,Round 2_Sum,Round 2_LeadInvestors,Round 3_Date,Round 3_Name,Round 3_InvestorsCount,Round 3_Sum,Round 3_LeadInvestors,Round 4_Date,Round 4_Name,Round 4_InvestorsCount,Round 4_Sum,Round 4_LeadInvestors,Round 5_Date,Round 5_Name,Round 5_InvestorsCount,Round 5_Sum,Round 5_LeadInvestors,Round 6_Date,Round 6_Name,Round 6_InvestorsCount,Round 6_Sum,Round 6_LeadInvestors,Round 7_Date,Round 7_Name,Round 7_InvestorsCount,Round 7_Sum,Round 7_LeadInvestors,Round 8_Date,Round 8_Name,Round 8_InvestorsCount,Round 8_Sum,Round 8_LeadInvestors,Round 9_Date,Round 9_Name,Round 9_InvestorsCount,Round 9_Sum,Round 9_LeadInvestors,Round 10_Date,Round 10_Name,Round 10_InvestorsCount,Round 10_Sum,Round 10_LeadInvestors
"Mar 12, 2020",Seed Round - n8n,10,$1.5M,"Firstminute Capital, Sequoia Capital","Apr 26, 2021",Series A - n8n,6,$12M,Felicis,"Nov 18, 2022",Convertible Note - n8n,1,$1.5M,Harpoon,"Feb 19, 2024",Series A - n8n,4,$5M,Felicis,"Mar 24, 2025",Series B - n8n,5,€55M,Highland Europe,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 9, 2021",Series A - Helsing,1,€102.5M,Prima Materia,"Sep 14, 2023",Series B - Helsing,3,€209M,General Catalyst,"Jul 11, 2024",Series C - Helsing,7,€450M,General Catalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 19, 2010",Grant - Siemens,1,$8.9M,,"Mar 15, 2018",Post-IPO Equity - Siemens,,€4.2B,,"Sep 4, 2024",Post-IPO Debt - Siemens,5,€300M,,"Sep 17, 2024",Grant - Siemens,1,$1.5M,US Department of Energy,"Feb 20, 2025",Post-IPO Equity - Siemens,,$1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2009",Pre Seed Round - DeepL,1,—,b2venture,"Dec 1, 2010",Seed Round - DeepL,1,—,b2venture,"Dec 3, 2018",Series A - DeepL,2,—,Benchmark,"Jan 11, 2023",Venture Round - DeepL,9,$100M,IVP,"May 22, 2024",Venture Round - DeepL,6,$300M,Index Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2020",Non Equity Assistance - Aleph Alpha,1,—,Public,"Jan 27, 2021",Seed Round - Aleph Alpha,3,€5.3M,"468 Capital, LEA Partners","Jul 27, 2021",Series A - Aleph Alpha,6,€23M,"Earlybird Venture Capital, Lakestar, UVC Partners","Jul 18, 2023",Corporate Round - Aleph Alpha,2,—,,"Nov 6, 2023",Series B - Aleph Alpha,10,$500M,"Bosch Ventures, Innovation Park Artificial Intelligence, Schwarz Group","Nov 20, 2024",Secondary Market - Aleph Alpha,4,—,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",Seed Round - Cognigy,,—,,"Jun 7, 2017",Seed Round - Cognigy,,€1.4M,,"Nov 26, 2019",Series A - Cognigy,3,€5.5M,"DN Capital, Inventures, Nordic Makers","Oct 16, 2020",Series A - Cognigy,1,€2M,Global Brain Corporation,"Jan 27, 2021",Venture Round - Cognigy,1,—,Global Brain Corporation,"Jun 1, 2021",Series B - Cognigy,7,€36M,Insight Partners,"Feb 17, 2022",Series B - Cognigy,1,$15M,DTCP,"Jun 11, 2024",Series C - Cognigy,4,$100M,Eurazeo,,,,,,,,,,
"Jan 1, 2021",Seed Round - Clinomic,1,€3M,German Federal Ministry of Education and Research,"Mar 22, 2021",Venture Round - Clinomic,,€7M,,"Aug 22, 2023",Venture Round - Clinomic,1,€16M,Sana Kliniken,"Apr 8, 2025",Series B - Clinomic,1,€23M,DeepTech & Climate Fonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 7, 2016",Series A - Celonis,3,$27.5M,"83North, Accel","Jun 26, 2018",Series B - Celonis,2,$50M,"83North, Accel","Nov 21, 2019",Series C - Celonis,5,$290M,Arena Holdings,"Jun 2, 2021",Series D - Celonis,7,$1B,"Durable Capital Partners, T. Rowe Price","Aug 23, 2022",Series D - Celonis,13,$400M,Qatar Investment Authority,"Aug 23, 2022",Debt Financing - Celonis,13,$600M,KeyBanc Capital Markets,"Jul 15, 2023",Secondary Market - Celonis,1,—,,,,,,,,,,,,,,,,
"Aug 1, 2024",Seed Round - Black Forest Labs,8,€28M,Andreessen Horowitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1, 2022",Angel Round - ai|coustics,,€245K,,"Mar 25, 2024",Pre Seed Round - ai|coustics,4,€1.7M,Connect Ventures,"Mar 25, 2025",Seed Round - ai|coustics,10,€5M,Partech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2021",Seed Round - bitsCrunch,6,$750K,Genblock Capital,"Jan 1, 2022",Seed Round - bitsCrunch,17,$3.6M,"Animoca Brands, Coinbase Ventures","Nov 30, 2023",Initial Coin Offering - bitsCrunch,1,$3.9M,CoinList,"Jan 23, 2024",Series A - bitsCrunch,7,$2.4M,"Cypher Capital, HashKey Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
